province,date,cpi
MB,2014-03,125.1
MB,2014-04,125.4
MB,2014-05,126.2
MB,2014-06,126
MB,2014-07,125.8
MB,2014-08,125.6
MB,2014-09,125.8
MB,2014-10,125.6
MB,2014-11,125.4
MB,2014-12,124.5
MB,2015-01,124.3
MB,2015-02,125.2
MB,2015-03,126.6
MB,2015-04,126.5
MB,2015-05,126.8
MB,2015-06,127.3
MB,2015-07,127.1
MB,2015-08,127.8
MB,2015-09,127.4
MB,2015-10,128
MB,2015-11,127.7
MB,2015-12,126.4
MB,2016-01,126.9
MB,2016-02,126.6
MB,2016-03,127.8
MB,2016-04,128.1
MB,2016-05,128.9
MB,2016-06,130
MB,2016-07,129
MB,2016-08,129.2
MB,2016-09,129
MB,2016-10,129.4
MB,2016-11,127.9
MB,2016-12,127.8
MB,2017-01,129.6
MB,2017-02,129.5
MB,2017-03,129.9
MB,2017-04,130.2
MB,2017-05,130.2
MB,2017-06,130.2
MB,2017-07,130.1
MB,2017-08,130.4
MB,2017-09,130.9
MB,2017-10,131.4
MB,2017-11,132
MB,2017-12,131.5
MB,2018-01,132.3
MB,2018-02,132.6
MB,2018-03,133
MB,2018-04,134
MB,2018-05,133.7
MB,2018-06,133.7
MB,2018-07,134.4
MB,2018-08,134.2
MB,2018-09,134
MB,2018-10,135
MB,2018-11,134.3
MB,2018-12,134.3
MB,2019-01,134.1
MB,2019-02,135.2
MB,2019-03,136.1
MB,2019-04,137.1
MB,2019-05,137.5
MB,2019-06,137.3
MB,2019-07,137.4
MB,2019-08,137.3
MB,2019-09,136.9
MB,2019-10,138
MB,2019-11,137.6
MB,2019-12,137.4
MB,2020-01,137.5
MB,2020-02,138.3
MB,2020-03,137.4
MB,2020-04,136.3
MB,2020-05,136.8
MB,2020-06,137.9
MB,2020-07,137.9
MB,2020-08,137.2
MB,2020-09,137.2
MB,2020-10,138.1
MB,2020-11,138.4
MB,2020-12,137.5
MB,2021-01,138.5
MB,2021-02,138.9
MB,2021-03,139.6
MB,2021-04,140.6
MB,2021-05,141.5
MB,2021-06,141.9
MB,2021-07,142.8
MB,2021-08,143.2
MB,2021-09,143.6
MB,2021-10,144.6
MB,2021-11,144.7
MB,2021-12,144
MB,2022-01,146.1
MB,2022-02,147.4
MB,2022-03,149.9
MB,2022-04,151.1
MB,2022-05,153.8
MB,2022-06,155.3
MB,2022-07,155.3
MB,2022-08,154.6
MB,2022-09,155.2
MB,2022-10,156.7
MB,2022-11,157
MB,2022-12,155.5
MB,2023-01,156.2
MB,2023-02,156.9
MB,2023-03,157.7
MB,2023-04,159.4
MB,2023-05,159.1
MB,2023-06,158.5
MB,2023-07,159.3
MB,2023-08,159.5
MB,2023-09,159.2
MB,2023-10,159.6
MB,2023-11,159.8
